gender,age,country,city,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,csat_score,escalations,email_open_rate,marketing_click_rate,nps_score,survey_response,referral_count
Male,22,USA,Toronto,Individual,54,Referral,Monthly,13,3,27.107513934036376,6,0.11,19,20,1080,Card,0,No,No,1,24.750096751904486,,2.0,0,0.54,0.1,-6,Satisfied,3
Female,48,Bangladesh,Delhi,Individual,14,Web,Quarterly,5,5,20.634515728011543,5,0.09,19,30,420,Card,0,No,No,1,27.14923171884427,Service,4.0,0,0.86,0.28,56,Neutral,0
Female,63,Australia,Toronto,Individual,39,Web,Monthly,13,7,12.72571671136733,5,0.2,3,30,1170,Card,1,No,No,1,37.41348698314959,Service,4.0,0,0.8,0.28,59,Unsatisfied,0
Male,40,Germany,London,Individual,23,Referral,Yearly,36,3,12.53113681915337,6,0.33,2,20,460,Bank Transfer,1,No,Yes,0,19.878373180702,Service,5.0,0,0.36,0.25,-16,Unsatisfied,1
Female,33,Germany,Dhaka,Individual,44,Referral,Monthly,11,4,8.60325463033788,2,0.24,7,20,880,Card,0,No,No,0,31.7505699028875,Billing,3.0,0,0.86,0.16,43,Neutral,1
Female,68,Bangladesh,Dhaka,Individual,44,Mobile,Monthly,25,5,11.302616489503556,6,-0.24,3,10,440,Card,0,Yes,No,0,32.51439821173264,,2.0,0,0.79,0.1,50,Satisfied,1
Male,56,Bangladesh,London,Individual,54,Web,Monthly,23,6,19.74395261290658,4,0.07,5,70,3780,Card,1,No,Yes,1,18.123271625196324,,2.0,0,0.5,0.27,44,Neutral,1
Female,63,USA,London,Individual,27,Mobile,Monthly,22,6,20.3361543167521,4,-0.14,10,30,810,Card,0,Yes,No,1,30.636752716532104,Service,2.0,1,0.22,0.35,4,Neutral,0
Male,39,USA,Sydney,SME,54,Web,Yearly,5,2,20.54552399492692,2,-0.03,2,20,1080,PayPal,0,No,No,0,14.571621882389197,Technical,3.0,0,0.76,0.11,42,Neutral,2
Male,37,Bangladesh,London,Individual,30,Mobile,Monthly,27,0,10.729396795684728,5,0.17,4,10,300,Card,0,Yes,No,3,29.00479921089827,Technical,5.0,0,0.12,0.28,44,Neutral,1
Male,40,Bangladesh,Sydney,Individual,45,Web,Yearly,2,0,9.695223315293545,10,0.37,3,100,4500,Card,0,Yes,No,0,12.482243101200064,Technical,4.0,0,0.82,0.01,100,Satisfied,1
Male,68,India,Berlin,Enterprise,17,Mobile,Monthly,12,1,18.72338916157488,7,0.42,23,20,340,Card,0,Yes,No,0,31.919009694787903,,2.0,0,0.31,0.23,17,Neutral,1
Female,19,USA,Delhi,Individual,14,Web,Yearly,26,6,21.76810381477002,6,-0.06,3,70,980,PayPal,0,No,No,0,31.973990637875996,Technical,1.0,0,0.65,0.22,-4,Satisfied,1
Male,42,Canada,Delhi,SME,1,Web,Yearly,25,1,13.55045244549868,6,-0.09,12,30,30,Bank Transfer,0,No,Yes,0,7.071136150600722,Technical,3.0,0,0.89,0.22,5,Unsatisfied,0
Female,27,Australia,Dhaka,SME,17,Mobile,Quarterly,16,5,1.9480748346230428,7,-0.04,2,50,850,Card,0,Yes,No,0,27.301975514308097,Billing,3.0,0,0.28,0.04,75,Satisfied,3
Female,25,Germany,Dhaka,Enterprise,29,Mobile,Quarterly,19,7,25.07572741751467,1,-0.09,15,30,870,PayPal,0,No,No,2,24.220350075527413,Technical,4.0,1,0.42,0.16,50,Satisfied,1
Male,36,Canada,London,SME,6,Web,Monthly,1,1,18.10392723509075,6,0.15,2,30,180,Card,0,No,Yes,4,19.03777997187881,Technical,3.0,0,0.83,0.17,-7,Neutral,0
Female,26,Germany,Sydney,Enterprise,7,Web,Quarterly,27,5,9.110882156807984,4,-0.02,1,50,350,PayPal,1,No,No,0,15.542905540313432,Billing,5.0,0,0.26,0.34,-31,Neutral,1
Male,71,Germany,New York,Individual,51,Mobile,Monthly,14,6,5.009491341629332,6,0.16,4,20,1020,Card,2,No,No,1,54.23959884082727,,2.0,1,0.79,0.09,23,Satisfied,3
Male,30,UK,Sydney,Individual,31,Mobile,Monthly,31,1,15.156234779653524,7,-0.09,2,50,1550,PayPal,0,No,No,2,29.096712769274816,Service,2.0,0,0.13,0.41,9,Satisfied,2
Female,57,Australia,Toronto,Individual,33,Mobile,Yearly,11,6,24.81029309654783,7,0.09,3,10,330,Bank Transfer,1,No,No,1,20.47855827482561,Service,4.0,2,0.48,0.1,50,Neutral,1
Male,44,Canada,Toronto,Individual,45,Mobile,Monthly,13,6,13.979198259821812,5,-0.01,24,20,900,Card,0,Yes,No,0,37.94035237257822,Service,5.0,0,0.23,0.26,36,Satisfied,3
Male,65,Bangladesh,Sydney,Individual,6,Web,Monthly,24,1,5.745156287998947,6,-0.01,2,30,180,Bank Transfer,0,No,Yes,1,22.185519884031766,Technical,5.0,0,0.19,0.35,46,Neutral,0
Male,33,Germany,New York,Individual,55,Web,Yearly,17,0,15.217348800644316,4,-0.18,18,50,2750,PayPal,0,No,No,1,28.254804432268635,Service,2.0,0,0.8,0.45,78,Neutral,1
Male,31,Australia,Sydney,Individual,10,Mobile,Quarterly,25,5,19.393347871260524,4,0.18,12,10,100,PayPal,2,No,No,2,15.620154791107565,Technical,2.0,1,0.32,0.4,0,Satisfied,0
Male,30,Bangladesh,New York,Individual,17,Referral,Monthly,16,4,22.30366644613274,3,0.28,24,20,340,Bank Transfer,1,No,No,3,22.344658683216885,Billing,1.0,0,0.73,0.47,56,Neutral,1
Male,62,Bangladesh,London,SME,55,Web,Monthly,25,6,5.691024192103477,5,0.02,5,30,1650,PayPal,0,No,No,1,18.83823188029345,Technical,5.0,0,0.29,0.31,16,Neutral,1
Male,41,Germany,London,Individual,48,Web,Yearly,27,3,11.835234422066518,2,0.21,16,50,2400,Card,0,No,No,1,17.559394874793547,Billing,4.0,0,0.37,0.34,41,Satisfied,1
Female,63,USA,Toronto,SME,34,Mobile,Quarterly,8,7,13.660385609792792,8,-0.13,11,10,340,Card,0,Yes,No,1,25.120666204569027,Technical,3.0,1,0.54,0.03,-68,Satisfied,0
Male,43,USA,New York,SME,48,Referral,Quarterly,11,5,19.551753185000518,2,0.17,6,30,1440,Card,1,No,No,0,32.36540036061165,Technical,4.0,0,0.73,0.36,10,Satisfied,0
